,title,state
0,北京检方依法对隐瞒病情回国的黎某批准逮捕,事实
1,支援绥芬河医生心脏骤停离世，给5岁女儿的六一礼物还没送出,事实
2,合肥回应“高考考场装空调”：从公平性及防疫角度，暂不考虑,事实
3,武汉中心医院染新冠医生胡卫锋抢救无效离世 此前曾“脸部变黑”,事实
4,国家卫健委：昨日新增确诊病例5例，均为境外输入病例,事实
5,抗疫医生彭银华牺牲102天后女儿出生 亲属：心疼小孩刚出生就没有爸爸,事实
6,全员核酸检测首次无症状感染者新增为零，武汉是如何做的？,事实
7,武汉市核酸普查，家住汉口的她意外找到失联三年的女儿……,事实
8,赵立坚：中美两国谁无能、谁应对不力，还是让数字说话,事实
9,牡丹江报警！省长赶赴前线，省级常委周日全员开会,事实
10,宁夏卫健委回应疫情数据“早产”：技术原因致时间乌龙已修改,事实
11,六一儿童节，抗疫烈士彭银华的孩子在武汉出生,事实
12,详情公布！成都新增境外输入确诊病例11例 来自埃及出发同一航班,事实
13,国家卫健委：昨日新增确诊病例16例，其中四川11例均境外输入,事实
14,武汉首次无症状感染者当日新增为零,事实
15,秋冬是否会出现第二波疫情？张文宏回应,事实
16,31省份昨日新增确诊病例2例 均为境外输入,事实
17,北京将建突发公共卫生事件社会报告举报制度 情况紧急可越级,事实
18,"美议员提案将中国驻美使馆路段改名""李文亮广场""，李文亮之妻驳斥",事实
19,3天新增11例无症状感染者 黑龙江省长赶赴牡丹江,事实
20,31省份新增确诊4例：山东2例 上海1例 广东1例 均为境外输入病例,事实
21,个别中国公民持伪造核酸报告登机，驻俄使馆提醒,事实
22,湖北：尚不具备推动省外境外来鄂旅游条件,事实
23,国家卫健委：昨日无新增确诊病例，新增无症状感染者5例,事实
24,湖北卫健委：全省新增无症状感染者19例，尚在医学观察的无症状感染者344例,事实
25,国家卫健委：31省区市新增确诊病例2例，均为境外输入病例,事实
26,湖北卫健委：新增无症状感染者22例 全省现有确诊病例5例均在武汉市,事实
27,国家卫健委：昨日新增确诊病例1例，为境外输入病例（在上海）,事实
28,黑龙江牡丹江新增无症状感染者5例 均为密切接触者,事实
29,香港拟恢复中转航班，机票搜索应声大涨,事实
30,返校复课？！黑龙江两所大学刚刚发布通知,事实
31,新增29例无症状感染者来自哪？,事实
32,林郑月娥：香港机场6月1日适度恢复转机服务,事实
33,武汉病毒研究所研究员石正丽：我们现在发现的病毒只是冰山一角,事实
34,31省份新增确诊7例：内蒙古5例 上海1例福建1例 均为境外输入病例,事实
