,title,state,time,content
0,邢台市桥西区一小学附近有确诊病例？,谣言,2020-05-22,　　近日，针对网上有网友群发“育红小学附近有确诊病例”一事，引发大量网友关注和担忧。对此，桥西区疫情防控办再次声明：截至5月20日21:00桥西区无新冠肺炎确诊病例、无新冠肺炎疑似患者、无无症状感染者。请大家不要传谣、信谣和妄加猜测。目前防控级别仍是二级防控，为了大家的健康，应继续提高防控意识，加强个人防护。　　邢台市桥西区疫情防控办　　2020年5月20日
1,唐山一医院科室因哈尔滨来的患者发烧致全科隔离等待核酸检测？,谣言,2020-05-22,　　5月21日，华北理工大学附属医院发布声明：近日，网传煤医心内科因哈尔滨来的患者发烧致全科隔离等待核酸检测一事纯属谣传。目前，华北理工大学附属医院心内科全体医务人员正在紧张有序开展正常诊疗，就诊秩序良好。　　疫情以来，华北理工大学附属医院始终紧抓疫情防控，严格就医流程，关注患者健康，以病人为中心营造安全的诊疗环境。　　目前，华北理工大学附属医院各门诊及所有住院病区均正常开诊，请大家放心就诊。
2,大连紧急排查吉林来普王某？,谣言,2020-05-22,　　经区疾控中心与区公安局联合调查，此信息为虚假消息，望广大市民不信谣、不传谣，避免造成社会恐慌。
3,赣州南康发布疫情防控《20号令》？,谣言,2020-05-22,"关于对网络流传《赣州市南康区新型冠状病毒感染的肺炎疫情防控应急指挥部20号令》的情况说明网络上流传的伪造文件 　　5月18日,一份《赣州市南康区新型冠状病毒感染的肺炎疫情防控应急指挥部20号令》（以下简称《20号令》）在微信朋友圈等网络媒体流传，造成不良社会影响，区防控指挥部立即进行了调查。现将情况说明如下：　　一、经认真比对，网络流传《20号令》的文件格式、字体和用纸均与南康区防控指挥部的文件不相符，南康区防控指挥部到目前为止，只发到第10号令。　　二、南康辖区内无《20号令》中提到的社前安置点，近期没有大量人员从湖北返回居住。　　三、从以上两点可以确定，此《20号令》系伪造，南康区公安局已对该事件进行立案调查，调查结果将及时向社会公布。赣州市南康区新冠肺炎疫情防控应急指挥部办公室 2020年5月18日"
4,长春一摊主感染，7家店铺被封？,谣言,2020-05-21,　　5月21日，@长春发布 表示，近日有网友散播“长春有一家麻辣烫摊主感染了，去台北大街买东西，封了7家店铺”的消息，该内容被部分网友转发并造成一定影响。经核实，相关消息内容不属实，系谣言！提醒大家，疫情相关信息请以官方发布内容为准，切勿造谣、信谣、传谣，否则将承担相应的法律后果！
5,张业遂：中国并不存在大规模外资撤离情况,事实,2020-05-22,　　针对所谓“外资撤离中国”论，5月21日，十三届全国人大三次会议大会发言人张业遂在新闻发布会上表示，尽管疫情对在华外资企业造成影响，但中国并不存在大规模外资撤离的情况。　　中国利用外资的综合优势没有变，外国投资者持续看好中国，在华长期经营发展的信心没有变。疫情全球大流行会对经济全球化产生多方面复杂影响，但不至于逆转全球化历史进程。
6,全国停办因私护照？,谣言,2020-05-21,　　原标题：“全国停办因私护照”？国内多地出入境管理部门已辟谣　　近几天，一则“全国停办因私护照”的消息在网上流传。从网传群聊记录截图可见，消息来自于一段群聊。记录称，“全国统一停办因私护照”只有“留学、工作、奔丧”才不受影响。一些网友还煞有介事的“证实”：江西南昌有人已到期的护照目前无法换新，还说咨询了公安部门得知是“上面下了通知”；昆明网友也称，昆明已明确因为疫情暂时不能办理因私护照。　　澎湃新闻记者注意到，对于上述传言，上海、天津、无锡等地已经相继辟谣。　　天津媒体“每日新报”微信公众号消息：5月20日，天津市公安局出入境管理总队政委刘建蓉对相关问题予以回复：日前，外交部发布提示，提醒中国公民暂勿出国旅行。在此，我们也提示：广大市民要充分评估当前国际旅行所带来的风险，在国内的暂勿出国旅行，在国外的避免跨境流动，如在境外遇到紧急情况，可联系中国驻当地使领馆寻求领事保护与协助。外交部24小时领事保护服务应急热线为+86-10-12308。不过，即使有风险提示，还是会有一些朋友由于自身原因需要办理出国出境手续。　　同时也有多位天津市民询问：疫情防控期间，如何办理出入境证件？如果现在有紧急情况需要出国怎么办呢？　　天津市公安局出入境管理总队政委刘建蓉回复说：为减少人员聚集，缩短申请人等候时间，我们目前全面实行分时段预约办理制度，申请人可以通过关注“天津出入境”微信公众号，或者登陆天津市公安出入境服务网预约后再到现场办理。市民或企业参与防疫抗疫、复工复产或者紧急特殊情况，需紧急办理出入境证件的，我们会开通办证“绿色通道”，您可以拨打我局24小时值班电话022-24459007。　　上海媒体“解放日报”微信公众号19日也发布消息：5月18日，上海辟谣平台记者致电上海市出入境管理局咨询热线“021-28951900”核实。接线的工作人员告知，上海市出入境管理局各大办证点均正常上班，市民可以前来申请普通护照的办理。但是，能否顺利办出要看柜台的审核，即“不保证一定能办出来”。末了，该工作人员还是规劝记者“建议疫情结束再来办”。　　那么，柜台审核能否办出的标准是什么？5月18日下午，记者又来到了位于汉中路188号的出入境静安受理点。门口出示绿色随申码后，保安提示前往3楼窗口填表申领普通护照。在3楼咨询处，记者又就普通护照是否停办一事进行了咨询。工作人员首先否认了停办一事，明确告知“可以办”。只是，在自助机器刷身份证填表时，如果表格中勾选申领原因为“旅游”时，会导致无法申领成功。工作人员提醒记者，如果硬是要现在申领普通护照，申领原因中不要勾选旅游即可。但是，和咨询热线一样，工作人员还是建议记者等疫情结束再办，“你现在办出来也没地方用啊”。　　“解放日报”微信公众号表示：看来，全国停办不实。但就目前境外疫情情况来看，出境并不明智。上海市出入境管理局官方微信号也早已发布《通知公告》提醒市民，“非紧急必要事由，建议暂缓办理出入境证件，取消或推迟出国计划”。因而，对于旧护照到期和首次申领因私护照的上海市民来说：别纠结了，等疫情结束再办吧。　　无锡媒体“江南晚报”微信公众号21日也透露：记者从市公安局出入境管理支队了解到，目前市公安局出入境接待大厅以及各个区行政服务中心出入境窗口都是正常上班的，市民可以前往申请办理护照。除非近期有紧急事情要出国，或者旧护照上贴了有效签证，对方国家要求及时更换护照，普通情况下市民不妨等疫情防控结束，待有计划出行之前再办理。（记者 岳怀让）
7,四川广元发现一例确诊病例？,谣言,2020-05-21,　　据广元市卫生健康委员会，近日一则消息称：“广元一小区发现一例确诊病例”在广元市多个微信群内流传。广元市卫生健康委员会官方微博发出通报：微信群内所传为不实信息，请大家不信谣不传谣，最新疫情消息请关注市卫生健康委官方发布。
8,安徽六安第二人民医院确诊一例？,谣言,2020-05-21,　　近日，社会上有人通过不同渠道散播六安市第二人民医院确诊一例新冠病毒肺炎病例的不实信息，医院郑重声明如下：
9,北京：乘坐公共交通、学校上课应戴口罩,事实,2020-05-21,　　5月21日上午，北京市新型冠状病毒肺炎疫情防控工作新闻发布会召开。北京市疾病预防控制中心副主任刘晓峰介绍，为做好首都常态化疫情防控工作，倡导公众养成经常佩戴口罩、随身携带口罩的良好习惯，加强自我健康防护，北京市疾控中心提出以下指引：　　一、医务人员和前往医院就诊住院人员、陪同陪护探视人员，应当佩戴口罩。　　二、有发热或患呼吸道感染病的患者及其接触人员居家或外出时，应当佩戴口罩。　　三、从事公众服务（含窗口岗位）人员，商场、超市、餐饮、酒吧、KTV、美容美发、环卫、公交、地铁、出租车、网约车等行业人员，社区、机关企事业单位、公共场所等测温验证人员，应当佩戴口罩。　　四、前往人群拥挤、通风较差的室内公共场所，乘坐地铁等公共交通工具，进入养老、托幼、托育、中小学校、福利等机构，应当佩戴口罩。　　五、年老体弱者、患慢性病人员、孕妇等外出时，或需与他人密切接触而又无法确定风险时，建议佩戴口罩。　　六、学校师生上课时，建议佩戴口罩。　　七、户外活动在保持1米线社交距离的情况下，可以不戴口罩。　　八、在消毒通风良好、严格健康监测、保持社交距离的室内会议及活动场所，可以不戴口罩。　　九、有关行业和单位根据各自工作环境特点，在卫生专业机构或人员指导下，可制定具体场景下佩戴口罩指引。（记者 鲍聪颖）
